relationship_id,source_id,target_id,relationship_type
R_000001,201000121,720000000,801000004
R_000002,201000121,640000000,801000005
R_000003,201000122,720000000,801000004
R_000004,201000122,630000000,801000005
R_000005,201000123,720000000,801000004
R_000006,201000123,640000000,801000005
R_000007,201000124,640000000,801000005
R_000008,201000125,640000000,801000005
R_000009,201000126,720000000,801000004
R_000010,201000126,640000000,801000005
R_000011,201000127,720000000,801000004
R_000012,201000127,630000000,801000005
R_000013,201000128,650000000,801000005
R_000014,201000129,640000000,801000005
R_000015,201000130,650000000,801000005
