relationship_id,source_id,target_id,relationship_type
R_000001,201000001,650000000,801000005
R_000002,201000002,630000000,801000005
R_000003,201000003,620000000,801000005
R_000004,201000004,610000000,801000005
R_000005,201000005,610000000,801000005
R_000006,201000006,620000000,801000005
R_000007,201000007,630000000,801000005
R_000008,201000008,610000000,801000005
R_000009,201000009,720000000,801000004
R_000010,201000009,620000000,801000005
R_000011,201000010,710000000,801000004
R_000012,201000010,630000000,801000005
R_000001,201000011,610000000,801000005
R_000002,201000012,620000000,801000005
R_000003,201000013,630000000,801000005
R_000004,201000014,630000000,801000005
R_000005,201000015,620000000,801000005
R_000006,201000016,620000000,801000005
R_000007,201000017,620000000,801000005
R_000008,201000018,620000000,801000005
R_000009,201000019,630000000,801000005
R_000010,201000020,630000000,801000005
R_000001,201000021,610000000,801000005
R_000002,201000022,620000000,801000005
R_000003,201000023,610000000,801000005
R_000004,201000024,640000000,801000005
R_000005,201000025,630000000,801000005
R_000006,201000026,610000000,801000005
R_000007,201000027,640000000,801000005
R_000008,201000028,630000000,801000005
R_000009,201000029,620000000,801000005
R_000010,201000030,620000000,801000005
R_000001,201000031,620000000,801000005
R_000002,201000032,710000000,801000004
R_000003,201000032,630000000,801000005
R_000004,201000033,630000000,801000005
R_000005,201000034,620000000,801000005
R_000006,201000035,640000000,801000005
R_000007,201000036,640000000,801000005
R_000008,201000037,710000000,801000004
R_000009,201000037,640000000,801000005
R_000010,201000038,630000000,801000005
R_000011,201000039,630000000,801000005
R_000012,201000040,630000000,801000005
R_000001,201000041,640000000,801000005
R_000002,201000042,710000000,801000004
R_000003,201000042,650000000,801000005
R_000004,201000043,630000000,801000005
R_000005,201000044,630000000,801000005
R_000006,201000045,650000000,801000005
R_000007,201000046,650000000,801000005
R_000008,201000047,620000000,801000005
R_000009,201000048,710000000,801000004
R_000010,201000048,640000000,801000005
R_000011,201000049,720000000,801000004
R_000012,201000049,630000000,801000005
R_000013,201000050,650000000,801000005
R_000001,201000051,720000000,801000004
R_000002,201000051,630000000,801000005
R_000003,201000052,720000000,801000004
R_000004,201000052,630000000,801000005
R_000005,201000053,720000000,801000004
R_000006,201000053,630000000,801000005
R_000007,201000054,640000000,801000005
R_000008,201000055,630000000,801000005
R_000009,201000056,720000000,801000004
R_000010,201000056,630000000,801000005
R_000011,201000057,720000000,801000004
R_000012,201000057,650000000,801000005
R_000013,201000058,720000000,801000004
R_000014,201000058,640000000,801000005
R_000015,201000059,720000000,801000004
R_000016,201000059,630000000,801000005
R_000017,201000060,720000000,801000004
R_000018,201000060,630000000,801000005
R_000001,201000061,720000000,801000004
R_000002,201000061,630000000,801000005
R_000003,201000062,720000000,801000004
R_000004,201000062,650000000,801000005
R_000005,201000063,720000000,801000004
R_000006,201000063,630000000,801000005
R_000007,201000064,720000000,801000004
R_000008,201000064,640000000,801000005
R_000009,201000065,640000000,801000005
R_000010,201000066,640000000,801000005
R_000011,201000067,650000000,801000005
R_000012,201000068,720000000,801000004
R_000013,201000068,630000000,801000005
R_000014,201000069,720000000,801000004
R_000015,201000069,620000000,801000005
R_000016,201000070,720000000,801000004
R_000017,201000070,640000000,801000005
R_000001,201000071,630000000,801000005
R_000002,201000072,640000000,801000005
R_000003,201000073,720000000,801000004
R_000004,201000073,650000000,801000005
R_000005,201000074,640000000,801000005
R_000006,201000075,720000000,801000004
R_000007,201000075,630000000,801000005
R_000008,201000076,640000000,801000005
R_000009,201000077,720000000,801000004
R_000010,201000077,630000000,801000005
R_000011,201000078,630000000,801000005
R_000012,201000079,720000000,801000004
R_000013,201000079,640000000,801000005
R_000014,201000080,710000000,801000004
R_000015,201000080,630000000,801000005
R_000001,201000081,720000000,801000004
R_000002,201000081,630000000,801000005
R_000003,201000082,640000000,801000005
R_000004,201000083,720000000,801000004
R_000005,201000083,630000000,801000005
R_000006,201000084,720000000,801000004
R_000007,201000084,640000000,801000005
R_000008,201000085,720000000,801000004
R_000009,201000085,640000000,801000005
R_000010,201000086,630000000,801000005
R_000011,201000087,720000000,801000004
R_000012,201000087,640000000,801000005
R_000013,201000088,720000000,801000004
R_000014,201000088,630000000,801000005
R_000015,201000089,720000000,801000004
R_000016,201000089,630000000,801000005
R_000017,201000090,720000000,801000004
R_000018,201000090,640000000,801000005
R_000001,201000091,720000000,801000004
R_000002,201000091,650000000,801000005
R_000003,201000092,720000000,801000004
R_000004,201000092,640000000,801000005
R_000005,201000093,640000000,801000005
R_000006,201000094,640000000,801000005
R_000007,201000095,720000000,801000004
R_000008,201000095,650000000,801000005
R_000009,201000096,650000000,801000005
R_000010,201000097,710000000,801000004
R_000011,201000097,630000000,801000005
R_000012,201000098,720000000,801000004
R_000013,201000098,640000000,801000005
R_000014,201000099,630000000,801000005
R_000015,201000100,720000000,801000004
R_000016,201000100,640000000,801000005
R_000001,201000101,640000000,801000005
R_000002,201000102,720000000,801000004
R_000003,201000102,630000000,801000005
R_000004,201000103,720000000,801000004
R_000005,201000103,650000000,801000005
R_000006,201000104,720000000,801000004
R_000007,201000104,640000000,801000005
R_000008,201000105,720000000,801000004
R_000009,201000105,630000000,801000005
R_000010,201000106,640000000,801000005
R_000011,201000107,630000000,801000005
R_000012,201000108,640000000,801000005
R_000013,201000109,720000000,801000004
R_000014,201000109,630000000,801000005
R_000015,201000110,640000000,801000005
R_000001,201000111,720000000,801000004
R_000002,201000111,630000000,801000005
R_000003,201000112,630000000,801000005
R_000004,201000113,720000000,801000004
R_000005,201000113,630000000,801000005
R_000006,201000114,720000000,801000004
R_000007,201000114,630000000,801000005
R_000008,201000115,720000000,801000004
R_000009,201000115,620000000,801000005
R_000010,201000116,610000000,801000005
R_000011,201000117,640000000,801000005
R_000012,201000118,720000000,801000004
R_000013,201000118,640000000,801000005
R_000014,201000119,720000000,801000004
R_000015,201000119,640000000,801000005
R_000016,201000120,720000000,801000004
R_000017,201000120,640000000,801000005
R_000001,201000121,720000000,801000004
R_000002,201000121,640000000,801000005
R_000003,201000122,720000000,801000004
R_000004,201000122,630000000,801000005
R_000005,201000123,720000000,801000004
R_000006,201000123,640000000,801000005
R_000007,201000124,640000000,801000005
R_000008,201000125,640000000,801000005
R_000009,201000126,720000000,801000004
R_000010,201000126,640000000,801000005
R_000011,201000127,720000000,801000004
R_000012,201000127,630000000,801000005
R_000013,201000128,650000000,801000005
R_000014,201000129,640000000,801000005
R_000015,201000130,650000000,801000005
R_000001,201000131,720000000,801000004
R_000002,201000131,630000000,801000005
R_000003,201000132,720000000,801000004
R_000004,201000132,630000000,801000005
R_000005,201000133,650000000,801000005
R_000006,201000134,630000000,801000005
R_000007,201000135,640000000,801000005
R_000008,201000136,720000000,801000004
R_000009,201000136,630000000,801000005
R_000010,201000137,720000000,801000004
R_000011,201000137,630000000,801000005
R_000012,201000138,720000000,801000004
R_000013,201000138,650000000,801000005
R_000014,201000139,640000000,801000005
R_000015,201000140,640000000,801000005
R_000001,201000141,640000000,801000005
R_000002,201000142,620000000,801000005
R_000003,201000143,720000000,801000004
R_000004,201000143,630000000,801000005
R_000005,201000144,720000000,801000004
R_000006,201000144,630000000,801000005
R_000007,201000145,720000000,801000004
R_000008,201000145,630000000,801000005
R_000009,201000146,710000000,801000004
R_000010,201000146,610000000,801000005
R_000011,201000147,620000000,801000005
R_000012,201000148,630000000,801000005
R_000013,201000149,620000000,801000005
R_000014,201000150,620000000,801000005
R_000001,201000151,710000000,801000004
R_000002,201000151,630000000,801000005
R_000003,201000152,630000000,801000005
R_000004,201000153,630000000,801000005
R_000005,201000154,610000000,801000005
R_000006,201000155,710000000,801000004
R_000007,201000155,630000000,801000005
R_000008,201000156,650000000,801000005
R_000009,201000157,620000000,801000005
R_000010,201000158,620000000,801000005
R_000011,201000159,610000000,801000005
R_000012,201000160,620000000,801000005
R_000001,201000161,610000000,801000005
R_000002,201000162,710000000,801000004
R_000003,201000162,630000000,801000005
R_000004,201000163,640000000,801000005
R_000005,201000164,630000000,801000005
R_000006,201000165,640000000,801000005
R_000007,201000166,630000000,801000005
R_000008,201000167,640000000,801000005
R_000009,201000168,620000000,801000005
R_000010,201000169,640000000,801000005
R_000011,201000170,640000000,801000005
R_000001,201000171,630000000,801000005
R_000002,201000172,630000000,801000005
R_000003,201000173,720000000,801000004
R_000004,201000173,610000000,801000005
R_000005,201000174,650000000,801000005
R_000006,201000175,630000000,801000005
R_000007,201000176,640000000,801000005
R_000008,201000177,630000000,801000005
R_000009,201000178,720000000,801000004
R_000010,201000178,620000000,801000005
R_000011,201000179,620000000,801000005
R_000012,201000180,610000000,801000005
R_000001,201000181,720000000,801000004
R_000002,201000181,620000000,801000005
R_000003,201000182,640000000,801000005
R_000004,201000183,640000000,801000005
R_000005,201000184,620000000,801000005
R_000006,201000185,640000000,801000005
R_000007,201000186,720000000,801000004
R_000008,201000186,630000000,801000005
R_000009,201000187,720000000,801000004
R_000010,201000187,640000000,801000005
R_000011,201000188,720000000,801000004
R_000012,201000188,630000000,801000005
R_000013,201000189,630000000,801000005
R_000014,201000190,630000000,801000005
R_000001,201000191,710000000,801000004
R_000002,201000191,620000000,801000005
R_000003,201000192,640000000,801000005
R_000004,201000193,630000000,801000005
R_000005,201000194,720000000,801000004
R_000006,201000194,640000000,801000005
R_000007,201000195,720000000,801000004
R_000008,201000195,640000000,801000005
R_000009,201000196,720000000,801000004
R_000010,201000196,640000000,801000005
R_000011,201000197,640000000,801000005
R_000012,201000198,720000000,801000004
R_000013,201000198,640000000,801000005
R_000014,201000199,720000000,801000004
R_000015,201000199,630000000,801000005
R_000016,201000200,720000000,801000004
R_000017,201000200,640000000,801000005
R_000001,201000201,720000000,801000004
R_000002,201000201,620000000,801000005
R_000003,201000202,720000000,801000004
R_000004,201000202,630000000,801000005
R_000005,201000203,720000000,801000004
R_000006,201000203,620000000,801000005
R_000007,201000204,720000000,801000004
R_000008,201000204,640000000,801000005
R_000009,201000205,720000000,801000004
R_000010,201000205,640000000,801000005
R_000011,201000206,720000000,801000004
R_000012,201000206,640000000,801000005
R_000013,201000207,720000000,801000004
R_000014,201000207,630000000,801000005
